46000	38.66930
45000	33.94669
44000	31.11373
43000	28.17962
42000	42.17096
41000	27.21482
40000	49.73589
39000	32.38074
38000	31.95040
37000	22.88109
36000	19.12110
35000	17.78292
34000	18.81940
33000	16.48705
32000	15.66789
31000	16.09231
30000	14.07538
29000	14.13833
28000	12.14583
27000	11.14924
26000	16.80067
25000	14.77303
24000	10.49542
23000	7.68042
22000	7.88380
21000	6.48331
20000	10.76125
19000	6.34797
18000	9.93288
17000	8.33030
16000	4.05326
15000	3.43921
14000	3.49753
13000	2.86964
12000	2.26341
11000	2.08006
10000	2.16844
9000	1.32043
8000	1.06289
7000	0.81028
6000	0.66427
5000	0.44968
4000	0.30219
3000	0.18904
2000	0.09827
1000	0.03723

